nom;description;frequence_maj;derniere_maj;echelle_spatiale;url_informations;url_telechargement;format_telechargement;besoin_decoupe;licence;source;notes;taille
amg_velo_bnac;Aménagements cyclables au format BNAC ;Continue;-;EMS;https://data.strasbourg.eu/explore/dataset/amg_cycl_bnac/information/; https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/amg_cycl_bnac/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Géométrie : linéaires. A découper, certains linéaires dépassent. A reprojeter : données en 3957.;10,7 kb
amg_velo_prog;Aménagements cyclables programmes ;Continue;-;EMS;https://data.strasbourg.eu/explore/dataset/velo_projete_troncon/information/?disjunctive.programmation&disjunctive.priorite;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/velo_projete_troncon/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Géométrie : linéaires. A découper, certains linéaires dépassent.;285,5 kb
anom_acc_pmr;'Anomalies sur l''espace public pour l''accessibilite aux Personnes a Mobilite Reduite (PMR) ';Aucune depuis 2019;2019;EMS;https://data.strasbourg.eu/explore/dataset/vo_gp_anom_espub_pmr/information/?sort=-annee_leve;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/vo_gp_anom_espub_pmr/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Géométrie : points;19,1 mb
borne_rec_ve;Borne de recharge pour véhicules électriques;Continue;-;EMS;https://data.strasbourg.eu/explore/dataset/irve_ems/information/;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/irve_ems/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Ne pas utiliser : la même donnée existe à l’échelle française. Géométrie : points;1,7 mb
canevas_alti;Canevas altimétrique;Annuel;01.01.2025;EMS;https://data.strasbourg.eu/explore/dataset/canevas-altimetrique/information/?disjunctive.determination_alti&disjunctive.num_repere&sort=num_repere;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/canevas-altimetrique/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;oui;etalab-2.0;data.strasbourg.eu;Géométrie : points. Repères altimétriques de l’EMS. A découper, certains points dépassent.;821,4 kb
cart_zcl_2022;Cartographie des Zones Climatiques Locales 2022;Aucune;10.12.2024;Aires Urbaines de + de 50 000 habitants;https://www.data.gouv.fr/fr/datasets/cartographie-des-zones-climatiques-locales-lcz-de-83-aires-urbaines-de-plus-de-50-000-habitants-2022/;https://www.data.gouv.fr/fr/datasets/r/a8f73744-deac-44bb-9143-a5fa2974471d;zip;oui;etalab-2.0;data.gouv.fr;Comporte notamment un .tif et .un .shp des LCZ autour de Strasbourg. A découper sur la zone d’étude avant utilisation.;1,73 go (après extraction)
dec_stras_quart;Découpage de la ville de Strasbourg en 23 quartiers ;Aucune;26.09.2024;Strasbourg;https://data.strasbourg.eu/explore/dataset/strasbourg_23_quartiers/information/?disjunctive.nom_quartier&sort=nom_quartier;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/strasbourg_23_quartiers/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Géométrie : polygones. ;180,3 kb
info_vehi_com;Données sur le parc de véhicule au niveau communal;Annuelle (Théoriquement);02.05.2023;Communal;https://www.statistiques.developpement-durable.gouv.fr/catalogue?page=dataset&datasetId=64511438f3196b5b550dd093;https://data.statistiques.developpement-durable.gouv.fr/dido/api/v1/datafiles/37dd7056-6c4d-44e0-a720-32d4064f9a26/csv?millesime=2023-05&withColumnName=true&withColumnDescription=true&withColumnUnit=false;etalab-2.0;statistiques.developpement-durable.gouv.fr;;;;
info_vehi_reg;Données sur le parc de véhicule au niveau régional;Annuelle (Théoriquement);02.05.2023;Régionale;https://www.statistiques.developpement-durable.gouv.fr/catalogue?page=dataset&datasetId=645114943d964b9b210dd093;https://data.statistiques.developpement-durable.gouv.fr/dido/api/v1/datafiles/3750a580-f249-42d3-b488-5cf8acb767b7/csv?millesime=2023-05&withColumnName=true&withColumnDescription=true&withColumnUnit=false;etalab-2.0;statistiques.developpement-durable.gouv.fr;;;;
info_ent_plat_log;Données sur les entrepôts et plateformes logistiques dans les aires logistiques;Annuelle;13.12.2024;Aire Logistique;https://www.statistiques.developpement-durable.gouv.fr/catalogue?page=dataset&datasetId=675c0ad59718fa4d74fc907c;https://data.statistiques.developpement-durable.gouv.fr/dido/api/v1/datafiles/7f468d42-37dd-44c9-b5f0-b594d5f17fba/csv?millesime=2024-11&withColumnName=true&withColumnDescription=true&withColumnUnit=false;etalab-2.0;statistiques.developpement-durable.gouv.fr;;;;
info_traf_tps_reel;Données trafic routier en temps réel;Temps réel;-;France;https://trafic-routier.data.cerema.fr/ & https://dataviz.cerema.fr/trafic-routier/;cerema;;;;;;
filaire_circulation;Filaire de circulation;Non précisé (continue ?);-;EMS;https://data.strasbourg.eu/explore/dataset/filaire-de-circulation/information/;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/filaire-de-circulation/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Géométries : linéaires. Légèrement moins de rues que la BD Topo, mais possèdent des infos supplémentaires. Assez grosses erreurs où des rues ne sont pas connectées entre elles;
stationnement_vl;Le stationnement des véhicules ;Mensuel;01.06.2025;EMS;https://data.strasbourg.eu/explore/dataset/vo_st_stationmnt_vehi/information/?disjunctive.occupation;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/vo_st_stationmnt_vehi/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;non;etalab-2.0;data.strasbourg.eu;Géométrie : MultiLineString;10,3 mb
lidar_hd;Lidar HD;Aucune;Disponible en juin;France;https://macarte.ign.fr/carte/28c909bde7d5a504c9e45178c8d363f4/traitementslidarhd;etalab-2.0;ign;;;;;
lignes_bus;Lignes de bus;Non précisé;02.06.2025;EMS;https://data.strasbourg.eu/explore/dataset/lignes_de_bus/information/?sort=nom_court_ligne;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/lignes_de_bus/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;oui;etalab-2.0;data.strasbourg.eu;Géométrie : MultiLineString. Dépasse légèrement de l’EMS;2,6 mb
lignes_tram;Lignes de tram;Non précisé;08.04.2022;EMS;https://data.strasbourg.eu/explore/dataset/lignes_tram/information/?disjunctive.ligne&sort=ligne;https://data.strasbourg.eu/api/explore/v2.1/catalog/datasets/lignes_tram/exports/geojson?lang=fr&timezone=Europe%2FBerlin;geojson;oui;etalab-2.0;data.strasbourg.eu;Géométrie : LineString. La ligne vers Kehl dépasse l’EMS;159,3 kb
